지점번호,지점,날짜,시간,기온 (℃),일강수량 (mm),풍속 (m/s),고급휘발유,보통휘발유,자동차용경유,실내등유
402,강동,2016-01-26,7,-7.5,0,0.9,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,8,-7.1,0,1.3,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,9,-6.9,0,1.1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,10,-6.1,0,1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,11,-4.8,0,1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,12,-2.3,0,1.6,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,13,-1.5,0,1.1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,14,-2.3,0,0.7,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,15,0.6,0,1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,16,1.2,0,1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,17,1.5,0,0.9,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,18,1.7,0,1.1,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,19,1.4,0,1.2,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,20,1,0,0.4,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,21,0.6,0,0.9,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,22,-0.7,0,0.7,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-26,23,-0.8,0,0.7,1747.4,1370.04,1131.93,786.53
402,강동,2016-01-27,0,-0.6,0,0.8,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,1,-0.4,0,0.8,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,2,-1.3,0,0.2,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,3,-1.1,0,0.1,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,4,-0.7,0,0.7,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,5,-1.3,0,0.6,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,6,-2.2,0,0.1,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,7,-2.4,0,0.6,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,8,-4,0,0.4,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,9,-2.8,0,0.9,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,10,-1.1,0,0.4,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,11,1.5,0,0.7,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,12,3.1,0,1.3,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,13,3.2,0,1.8,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,14,3.4,0,1.5,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,15,3.7,0,1.3,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,16,3.5,0,1.1,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,17,2.7,0,0.8,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,18,2.1,0,0.6,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,19,1.4,0,0.8,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,20,0.8,0,0.7,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,21,0.8,0,0.6,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,22,-2.1,0,1.1,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-27,23,-3.1,0,1.1,1745.75,1368.42,1128.92,784.35
402,강동,2016-01-28,0,-3.5,0,2.6,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,1,-4.3,0,0.3,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,2,-4.6,0,0.2,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,3,-5,0,0.4,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,4,-6.3,0,1.6,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,5,-6.6,0,1.3,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,6,-6.5,0,2.8,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,7,-6.1,0,0.4,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,8,-5.7,0,1.6,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,9,-4.9,0,2.5,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,10,-2.1,0,2.1,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,11,-0.4,0,1.1,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,12,1.5,0,0.4,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,13,2.2,0,1.2,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,14,2.9,0,1.1,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,15,3.5,0,1,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,16,3.5,0,0.5,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,17,3.7,0,0.6,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,18,3.3,0,0.3,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,19,3.4,0,0.5,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,20,2.9,0,1.4,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,21,2.7,0,0.9,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,22,1.6,0,1.6,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-28,23,1.4,0,0.8,1744.07,1366.94,1126.12,782.8
402,강동,2016-01-29,0,1.2,0,1.2,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,1,1.2,0,2.9,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,2,0.7,0,1.9,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,3,0.4,0,2.1,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,4,-0.2,0,1.1,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,5,-0.6,0,2.5,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,6,-0.8,0,3.5,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,7,-0.6,0,3.2,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,8,-0.7,0,2.9,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,9,0.1,0,4.4,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,10,2.2,0,3,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,11,3.1,0,2.1,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,12,3.8,0,1.7,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,13,5.2,0,1.2,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,14,5.4,0,1.3,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,15,5.8,0,1.6,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,16,6.2,0,1.3,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,17,5.8,0,0.8,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,18,5.3,0,1.1,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,19,4.7,0,2.1,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,20,4.5,0,1.5,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,21,4,0,0.9,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,22,2.5,0,0.8,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-29,23,2.2,0,1.4,1741.31,1365.79,1124.11,781.19
402,강동,2016-01-30,0,1.6,0,1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,1,1.1,0,0.6,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,2,0.6,0,2.1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,3,0.5,0,1.9,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,4,0.2,0,1.1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,5,-0.5,0,1.5,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,6,-1.9,0,0.9,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,7,-2.2,0,0.6,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,8,-2.2,0,0.6,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,9,-0.9,0,1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,10,0.9,0,0.9,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,11,4.2,0,0.6,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,12,5,0,0.7,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,13,6,0,0.9,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,14,5.9,0,1.1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,15,5,0,1.2,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,16,4.6,0,1.4,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,17,4.2,0,1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,18,3.7,0,1.4,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,19,2.9,0,0.6,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,20,2.3,0,1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,21,1.4,0,0.8,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,22,1,0,0.9,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-30,23,0.3,0,1.1,1741.36,1364.86,1122.4,779.78
402,강동,2016-01-31,0,-0.9,0,0.8,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,1,-0.7,0,0.7,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,2,-1.1,0,1.4,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,3,-1.8,0,0.8,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,4,-2.2,0,0.9,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,5,-3,0,1.3,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,6,-3.5,0,1.2,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,7,-4,0,0.4,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,8,-4.4,0,0.9,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,9,-3.9,0,0.8,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,10,-2.2,0,1.8,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,11,-1.1,0,1.5,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,12,-0.6,0,2.6,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,13,-0.5,0,3.6,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,14,0.4,0,2,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,15,1,0,1.2,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,16,0.7,0,0.9,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,17,-0.5,0,0.6,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,18,-1.4,0,0.8,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,19,-2,0,1,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,20,-2.6,0,1.4,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,21,-3.3,0,1.1,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,22,-3.9,0,0.8,1740.05,1364.37,1120.97,778.88
402,강동,2016-01-31,23,-4.4,0,2.1,1740.05,1364.37,1120.97,778.88
404,강서 *,2016-01-01,0,1,0,1.1,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,1,1.1,0,0.9,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,2,0.1,0,0.4,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,3,0.5,0,0.3,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,4,0.2,0,1.6,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,5,0,0,1.2,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,6,0.4,0,0.6,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,7,0.2,0,2,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,8,0.1,0,2.3,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,9,0.3,0,2.2,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,10,1.5,0,1.9,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,11,2.2,0,2.2,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,12,2.8,0,1.4,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,13,4,0,2.1,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,14,4.5,0,0.7,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,15,4.8,0,1.5,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,16,4.9,0,1.4,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,17,5.2,0,1.7,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,18,5,0,1.3,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,19,4.9,0,2.1,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,20,5,0,2.1,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,21,5,0,2.4,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,22,5,0,2.7,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-01,23,5,0,2.4,1780.99,1407.15,1188.71,835.38
404,강서 *,2016-01-02,0,5.2,0,2.9,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,1,5,0,1.7,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,2,4.8,0,2.2,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,3,4.8,0,2.1,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,4,4.8,0,1.7,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,5,4.5,0,1.8,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,6,4.3,0,1.5,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,7,4.1,0,2.6,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,8,4.1,0,2.2,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,9,4.5,0,2.4,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,10,5.5,0,2.5,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,11,7.2,0,2.6,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,12,7.9,0,2.7,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,13,8.8,0,2.1,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,14,9.6,0,2.1,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,15,9.9,0,2.4,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,16,10,0,2.2,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,17,9.9,0,2.2,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,18,9.5,0,1.3,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,19,9,0,0.7,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,20,8.8,0,1.4,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,21,8.4,0,1.2,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,22,8,0,0.9,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-02,23,7.7,0,1.5,1781.69,1405.98,1187.91,834.11
404,강서 *,2016-01-03,0,7.5,0,0.9,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,1,7.2,0,0.7,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,2,7.3,0,1.1,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,3,6.7,0,1.3,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,4,6.6,0,0.2,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,5,6.2,0,0,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,6,6.1,0,0.3,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,7,5.8,0,0,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,8,5.7,0,0.7,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,9,5.8,0,0.7,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,10,6.4,0,0.6,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,11,6.7,0,0.6,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,12,7.1,0,0.5,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,13,8.5,0,0.9,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,14,8.7,0,1.1,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,15,8.5,0,1,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,16,8.6,0,1.5,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,17,8.3,0,1.5,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,18,8.1,0,1.3,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,19,7,0,0.8,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,20,7.2,0,0.8,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,21,6.5,0,0.6,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,22,6.5,0,0.5,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-03,23,5.8,0,0.2,1780.84,1405.33,1187.1,833.42
404,강서 *,2016-01-04,0,5.4,0,0.3,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,1,4.9,0,0.5,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,2,5.2,0,0.7,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,3,5.5,0,1,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,4,4.9,0,3.1,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,5,4,0,1.8,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,6,3.1,0,0.9,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,7,2.3,0,1,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,8,2.1,0,1.2,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,9,2.4,0,1.6,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,10,2.8,0,1.7,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,11,3.7,0,1.6,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,12,4.8,0,1.5,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,13,5.7,0,1.2,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,14,4.6,0,2.1,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,15,4.8,0,1.9,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,16,4,0,2.6,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,17,3.2,0,1.7,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,18,2.1,0,1.6,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,19,1.4,0,1.7,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,20,0.7,0,1.2,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,21,0.2,0,1.1,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,22,-0.7,0,1.3,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-04,23,-1.3,0,0.8,1780.73,1403.84,1185.85,832
404,강서 *,2016-01-05,0,-1.7,0,0.9,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,1,-2.2,0,1,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,2,-2.4,0,0.8,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,3,-2.5,0,0.7,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,4,-2.7,0,0.8,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,5,-2.9,0,1,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,6,-3.1,0,1,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,7,-3.4,0,1.1,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,8,-3.6,0,1,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,9,-3.3,0,0.9,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,10,-2.9,0,1.4,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,11,-2.1,0,1.9,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,12,-1.2,0,1.6,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,13,-0.5,0,1.6,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,14,0.8,0,1.2,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,15,0.2,0,2.1,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,16,1.4,0,1.5,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,17,-0.4,0,1.7,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,18,-0.9,0,1.4,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,19,-1,0,1.7,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,20,-1.7,0,0.6,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,21,-1.9,0,0.6,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,22,-1.8,0,0.6,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-05,23,-2,0,0.3,1779.6,1402.25,1184.01,830.39
404,강서 *,2016-01-06,0,-2.2,0,1.1,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,1,-2.6,0,0.8,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,2,-2.9,0,0.6,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,3,-2.9,0,0.7,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,4,-3,0,0.7,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,5,-2.8,0,0.7,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,6,-2.6,0,0.4,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,7,-1.7,0,0.5,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,8,-1.5,0,2.1,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,9,-1.1,0,1.6,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,10,0.3,0,1.3,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,11,0.9,0,1.2,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,12,0.9,0,1.1,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,13,1.9,0,1.2,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,14,1.7,0,1.9,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,15,1.9,0,1.4,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,16,1.7,0,1.6,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,17,1.5,0,2,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,18,1.2,0,2.2,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,19,0.5,0,1.2,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,20,-0.2,0,0.9,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,21,-0.9,0,0.9,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,22,-1.3,0,0.9,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-06,23,-1.8,0,0.8,1779.69,1400.78,1182.44,828.66
404,강서 *,2016-01-07,0,-2.3,0,0.9,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,1,-2.8,0,1,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,2,-3.3,0,0.8,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,3,-3.3,0,1.9,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,4,-3.4,0,1.1,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,5,-3.9,0,0.6,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,6,-3.8,0,1,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,7,-4.5,0,0.7,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,8,-4.5,0,0.9,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,9,-3.6,0,0.9,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,10,-2.7,0,1.2,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,11,-2,0,1.5,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,12,-1.7,0,1.8,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,13,-0.4,0,2,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,14,0.9,0,1.4,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,15,1,0,1.7,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,16,0.1,0,2.5,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,17,-0.8,0,2.7,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,18,-1.3,0,2.4,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,19,-1.5,0,1.8,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,20,-1.5,0,1.7,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,21,-2.3,0,1.1,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,22,-3.2,0,1.1,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-07,23,-3.7,0,0.8,1776.63,1399.15,1180.44,826.77
404,강서 *,2016-01-08,0,-3.9,0,0.6,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,1,-4.1,0,0.8,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,2,-4.4,0,0.6,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,3,-4.6,0,0.4,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,4,-5.1,0,0.3,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,5,-5.1,0,0.5,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,6,-5.1,0,0,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,7,-5,0,0.3,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,8,-5.1,0,0.7,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,9,-3.8,0,1.3,1776.26,1397.36,1178.04,824.76
404,강서 *,2016-01-08,10,-2.6,0,1.5,1776.26,1397.36,1178.04,824.76
